,Postal Code,Borough,Neighbourhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.7611243,-79.32405940000001
1,M4A,North York,Victoria Village,43.732658,-79.3111892
2,M5A,Downtown Toronto,Regent Park,43.66070560000001,-79.3604569
3,M5A,Downtown Toronto, Harbourfront,43.640080100000006,-79.3801495
4,M6A,North York,Lawrence Manor,43.72207879999999,-79.4375067
5,M6A,North York, Lawrence Heights,43.722778399999996,-79.45093320000001
6,M7A,Downtown Toronto,Queen's Park,43.659659000000005,-79.39033990000001
7,M9A,Etobicoke,Islington Avenue,43.6200875,-79.5127834
8,M9A,Etobicoke, Humber Valley Village,43.6664717,-79.5243136
9,M1B,Scarborough,Malvern,43.8091955,-79.2217008
10,M1B,Scarborough, Rouge,43.8049304,-79.1658374
11,M3B,North York,Don Mills,43.775347,-79.3459439
12,M4B,East York, Woodbine Gardens,43.7120785,-79.30256729999999
13,M5B,Downtown Toronto,Garden District,43.6564995,-79.3771141
14,M5B,Downtown Toronto, Ryerson,43.65846945,-79.37899327245886
15,M6B,North York,Glencairn,43.7087117,-79.4406853
16,M9B,Etobicoke,West Deane Park,43.6631995,-79.5685684
17,M9B,Etobicoke, Princess Gardens,43.6404664,-79.39122370000001
18,M9B,Etobicoke, Islington,43.645334999999996,-79.5248163
19,M9B,Etobicoke, Cloverdale,43.633637,-79.5497447
20,M1C,Scarborough,Rouge Hill,43.7802711,-79.1304992
21,M1C,Scarborough, Port Union,43.7755039,-79.13497650000001
22,M1C,Scarborough, Highland Creek,43.790117200000005,-79.1733344
23,M3C,North York,Don Mills,43.775347,-79.3459439
24,M4C,East York,Woodbine Heights,43.69992,-79.31927900000001
25,M5C,Downtown Toronto,St. James Town,43.6694032,-79.37270409999999
26,M6C,York,Humewood-Cedarvale,43.6883215,-79.42808050000001
27,M9C,Etobicoke,Eringate,43.6622732,-79.5765162
28,M9C,Etobicoke, Bloordale Gardens,43.6353169,-79.56367440000001
29,M9C,Etobicoke, Old Burnhamthorpe,43.6393732,-79.58438690000001
30,M9C,Etobicoke, Markland Wood,43.63123865,-79.58543401986114
31,M1E,Scarborough,Guildwood,43.7552251,-79.1982293
